36 4 36
32 33 34 35
0 32 400Gbps 0.0005ms 0
1 32 400Gbps 0.0005ms 0
2 32 400Gbps 0.0005ms 0
3 32 400Gbps 0.0005ms 0
4 32 400Gbps 0.0005ms 0
5 32 400Gbps 0.0005ms 0
6 32 400Gbps 0.0005ms 0
7 32 400Gbps 0.0005ms 0
8 32 400Gbps 0.0005ms 0
9 32 400Gbps 0.0005ms 0
10 32 400Gbps 0.0005ms 0
11 32 400Gbps 0.0005ms 0
12 32 400Gbps 0.0005ms 0
13 32 400Gbps 0.0005ms 0
14 32 400Gbps 0.0005ms 0
15 32 400Gbps 0.0005ms 0
16 33 400Gbps 0.0005ms 0
17 33 400Gbps 0.0005ms 0
18 33 400Gbps 0.0005ms 0
19 33 400Gbps 0.0005ms 0
20 33 400Gbps 0.0005ms 0
21 33 400Gbps 0.0005ms 0
22 33 400Gbps 0.0005ms 0
23 33 400Gbps 0.0005ms 0
24 33 400Gbps 0.0005ms 0
25 33 400Gbps 0.0005ms 0
26 33 400Gbps 0.0005ms 0
27 33 400Gbps 0.0005ms 0
28 33 400Gbps 0.0005ms 0
29 33 400Gbps 0.0005ms 0
30 33 400Gbps 0.0005ms 0
31 33 400Gbps 0.0005ms 0
32 34 400Gbps 0.0005ms 0
32 35 400Gbps 0.0005ms 0
33 34 400Gbps 0.0005ms 0
33 35 400Gbps 0.0005ms 0
